user_id,cibil_score,account_tier
USR-1,629,Silver
USR-2,667,Platinum
USR-3,529,Regular
USR-4,648,Silver
USR-5,867,Platinum
USR-6,830,Platinum
USR-7,511,Platinum
USR-8,879,Platinum
USR-9,802,Silver
USR-10,303,Platinum
USR-11,428,Gold
USR-12,667,Regular
USR-13,591,Silver
USR-14,505,Silver
USR-15,627,Silver
USR-16,788,Gold
USR-17,786,Regular
USR-18,640,Platinum
USR-19,370,Regular
USR-20,545,Regular
USR-21,344,Gold
USR-22,539,Platinum
USR-23,817,Regular
USR-24,444,Gold
USR-25,743,Silver
USR-26,603,Regular
USR-27,701,Regular
USR-28,551,Gold
USR-29,897,Silver
USR-30,720,Gold
USR-31,415,Gold
USR-32,529,Silver
USR-33,633,Silver
USR-34,724,Platinum
USR-35,851,Platinum
USR-36,397,Platinum
USR-37,417,Regular
USR-38,587,Platinum
USR-39,880,Platinum
USR-40,565,Regular
USR-41,814,Silver
USR-42,578,Platinum
USR-43,744,Silver
USR-44,588,Gold
USR-45,452,Silver
USR-46,756,Regular
USR-47,831,Gold
USR-48,485,Gold
USR-49,828,Regular
USR-50,743,Silver
USR-51,607,Platinum
USR-52,619,Regular
USR-53,784,Silver
USR-54,636,Silver
USR-55,615,Regular
USR-56,352,Regular
USR-57,657,Regular
USR-58,686,Platinum
USR-59,448,Gold
USR-60,511,Regular
USR-61,613,Silver
USR-62,883,Regular
USR-63,362,Silver
USR-64,653,Regular
USR-65,747,Regular
USR-66,314,Silver
USR-67,520,Gold
USR-68,688,Platinum
USR-69,865,Regular
USR-70,662,Platinum
USR-71,891,Gold
USR-72,375,Silver
USR-73,668,Silver
USR-74,676,Platinum
USR-75,898,Platinum
USR-76,889,Silver
USR-77,756,Silver
USR-78,558,Silver
USR-79,369,Regular
USR-80,774,Silver
USR-81,633,Gold
USR-82,521,Silver
USR-83,792,Silver
USR-84,808,Platinum
USR-85,840,Gold
USR-86,642,Regular
USR-87,589,Gold
USR-88,697,Regular
USR-89,370,Gold
USR-90,437,Gold
USR-91,621,Silver
USR-92,497,Regular
USR-93,376,Platinum
USR-94,564,Platinum
USR-95,871,Regular
USR-96,811,Silver
USR-97,809,Regular
USR-98,804,Regular
USR-99,673,Platinum
USR-100,663,Gold
USR-101,721,Gold
USR-102,750,Platinum
USR-103,781,Platinum
USR-104,500,Silver
USR-105,496,Silver
USR-106,561,Regular
USR-107,503,Silver
USR-108,678,Platinum
USR-109,478,Silver
USR-110,757,Silver
USR-111,619,Regular
USR-112,375,Gold
USR-113,392,Platinum
USR-114,422,Regular
USR-115,469,Gold
USR-116,618,Regular
USR-117,342,Platinum
USR-118,724,Regular
USR-119,598,Regular
USR-120,868,Platinum
USR-121,898,Platinum
USR-122,385,Regular
USR-123,441,Silver
USR-124,644,Platinum
USR-125,302,Silver
USR-126,479,Platinum
USR-127,545,Silver
USR-128,683,Regular
USR-129,630,Silver
USR-130,528,Silver
USR-131,459,Regular
USR-132,323,Silver
USR-133,755,Gold
USR-134,404,Gold
USR-135,701,Silver
USR-136,703,Gold
USR-137,489,Platinum
USR-138,372,Silver
USR-139,463,Gold
USR-140,433,Gold
USR-141,830,Regular
USR-142,676,Regular
USR-143,838,Platinum
USR-144,315,Regular
USR-145,437,Platinum
USR-146,460,Regular
USR-147,684,Gold
USR-148,304,Regular
USR-149,610,Gold
USR-150,785,Silver
USR-151,496,Gold
USR-152,790,Platinum
USR-153,834,Silver
USR-154,729,Gold
USR-155,754,Platinum
USR-156,398,Gold
USR-157,424,Gold
USR-158,353,Silver
USR-159,592,Regular
USR-160,454,Platinum
USR-161,882,Platinum
USR-162,636,Silver
USR-163,650,Platinum
USR-164,740,Silver
USR-165,685,Regular
USR-166,881,Platinum
USR-167,815,Platinum
USR-168,876,Gold
USR-169,440,Platinum
USR-170,354,Regular
USR-171,591,Gold
USR-172,597,Platinum
USR-173,453,Regular
USR-174,783,Platinum
USR-175,540,Gold
USR-176,771,Gold
USR-177,322,Gold
USR-178,770,Silver
USR-179,453,Gold
USR-180,886,Regular
USR-181,731,Platinum
USR-182,471,Platinum
USR-183,434,Silver
USR-184,572,Gold
USR-185,874,Gold
USR-186,723,Silver
USR-187,304,Platinum
USR-188,800,Regular
USR-189,570,Gold
USR-190,432,Gold
USR-191,306,Regular
USR-192,317,Silver
USR-193,432,Platinum
USR-194,562,Platinum
USR-195,833,Platinum
USR-196,540,Platinum
USR-197,734,Platinum
USR-198,301,Regular
USR-199,606,Regular
USR-200,399,Regular
USR-201,601,Silver
USR-202,603,Regular
USR-203,632,Platinum
USR-204,366,Gold
USR-205,520,Silver
USR-206,688,Silver
USR-207,595,Platinum
USR-208,483,Gold
USR-209,427,Silver
USR-210,881,Platinum
USR-211,548,Gold
USR-212,823,Silver
USR-213,764,Silver
USR-214,630,Silver
USR-215,791,Regular
USR-216,392,Silver
USR-217,384,Gold
USR-218,324,Regular
USR-219,630,Regular
USR-220,328,Platinum
USR-221,536,Silver
USR-222,320,Silver
USR-223,653,Silver
USR-224,600,Regular
USR-225,879,Silver
USR-226,364,Silver
USR-227,807,Platinum
USR-228,463,Gold
USR-229,767,Silver
USR-230,665,Platinum
USR-231,867,Platinum
USR-232,619,Platinum
USR-233,469,Silver
USR-234,684,Silver
USR-235,659,Regular
USR-236,394,Regular
USR-237,497,Silver
USR-238,557,Regular
USR-239,566,Platinum
USR-240,300,Platinum
USR-241,590,Gold
USR-242,650,Gold
USR-243,698,Platinum
USR-244,329,Gold
USR-245,462,Regular
USR-246,895,Platinum
USR-247,703,Regular
USR-248,303,Gold
USR-249,476,Silver
USR-250,568,Regular
USR-251,619,Platinum
USR-252,718,Gold
USR-253,566,Silver
USR-254,671,Platinum
USR-255,712,Silver
USR-256,475,Gold
USR-257,468,Gold
USR-258,368,Silver
USR-259,819,Platinum
USR-260,453,Gold
USR-261,829,Gold
USR-262,378,Regular
USR-263,399,Silver
USR-264,362,Silver
USR-265,819,Platinum
USR-266,513,Gold
USR-267,606,Platinum
USR-268,386,Regular
USR-269,412,Platinum
USR-270,557,Gold
USR-271,731,Regular
USR-272,443,Gold
USR-273,710,Regular
USR-274,786,Platinum
USR-275,421,Regular
USR-276,562,Silver
USR-277,501,Gold
USR-278,758,Regular
USR-279,814,Silver
USR-280,488,Silver
USR-281,810,Gold
USR-282,761,Gold
USR-283,722,Platinum
USR-284,573,Regular
USR-285,359,Regular
USR-286,693,Gold
USR-287,694,Silver
USR-288,878,Platinum
USR-289,477,Regular
USR-290,888,Platinum
USR-291,379,Gold
USR-292,763,Platinum
USR-293,625,Silver
USR-294,604,Platinum
USR-295,715,Gold
USR-296,453,Platinum
USR-297,802,Platinum
USR-298,331,Regular
USR-299,799,Regular
USR-300,705,Silver
USR-301,377,Gold
USR-302,467,Gold
USR-303,434,Silver
USR-304,315,Regular
USR-305,330,Gold
USR-306,860,Gold
USR-307,659,Gold
USR-308,660,Silver
USR-309,327,Silver
USR-310,685,Regular
USR-311,413,Platinum
USR-312,615,Gold
USR-313,554,Silver
USR-314,398,Regular
USR-315,737,Gold
USR-316,850,Gold
USR-317,659,Silver
USR-318,533,Regular
USR-319,559,Regular
USR-320,840,Platinum
USR-321,893,Gold
USR-322,305,Gold
USR-323,453,Platinum
USR-324,570,Gold
USR-325,787,Gold
USR-326,615,Silver
USR-327,604,Regular
USR-328,710,Platinum
USR-329,632,Regular
USR-330,746,Regular
USR-331,636,Platinum
USR-332,797,Silver
USR-333,329,Regular
USR-334,765,Regular
USR-335,425,Regular
USR-336,451,Platinum
USR-337,504,Regular
USR-338,763,Regular
USR-339,357,Platinum
USR-340,623,Gold
USR-341,403,Gold
USR-342,753,Regular
USR-343,839,Platinum
USR-344,688,Platinum
USR-345,504,Gold
USR-346,440,Platinum
USR-347,461,Regular
USR-348,661,Gold
USR-349,569,Silver
USR-350,400,Gold
USR-351,677,Regular
USR-352,480,Regular
USR-353,385,Silver
USR-354,872,Regular
USR-355,514,Regular
USR-356,584,Platinum
USR-357,685,Gold
USR-358,627,Gold
USR-359,697,Regular
USR-360,712,Gold
USR-361,826,Platinum
USR-362,492,Silver
USR-363,856,Platinum
USR-364,490,Gold
USR-365,531,Platinum
USR-366,325,Silver
USR-367,659,Gold
USR-368,785,Platinum
USR-369,570,Gold
USR-370,418,Regular
USR-371,617,Silver
USR-372,888,Regular
USR-373,623,Regular
USR-374,411,Platinum
USR-375,424,Silver
USR-376,706,Silver
USR-377,810,Platinum
USR-378,567,Gold
USR-379,617,Silver
USR-380,860,Gold
USR-381,691,Gold
USR-382,630,Silver
USR-383,768,Regular
USR-384,401,Gold
USR-385,534,Gold
USR-386,375,Regular
USR-387,895,Platinum
USR-388,349,Gold
USR-389,825,Gold
USR-390,492,Regular
USR-391,598,Regular
USR-392,598,Gold
USR-393,674,Gold
USR-394,545,Regular
USR-395,759,Platinum
USR-396,429,Silver
USR-397,888,Silver
USR-398,599,Silver
USR-399,452,Platinum
USR-400,694,Regular
USR-401,656,Regular
USR-402,457,Gold
USR-403,671,Platinum
USR-404,786,Silver
USR-405,693,Platinum
USR-406,897,Platinum
USR-407,870,Regular
USR-408,804,Regular
USR-409,582,Platinum
USR-410,562,Silver
USR-411,790,Silver
USR-412,397,Platinum
USR-413,497,Regular
USR-414,786,Gold
USR-415,542,Regular
USR-416,855,Regular
USR-417,552,Gold
USR-418,325,Gold
USR-419,534,Platinum
USR-420,798,Platinum
USR-421,853,Regular
USR-422,362,Regular
USR-423,883,Gold
USR-424,830,Regular
USR-425,332,Gold
USR-426,828,Gold
USR-427,562,Gold
USR-428,879,Platinum
USR-429,797,Platinum
USR-430,841,Regular
USR-431,598,Silver
USR-432,568,Silver
USR-433,631,Platinum
USR-434,831,Platinum
USR-435,787,Platinum
USR-436,713,Gold
USR-437,354,Silver
USR-438,652,Silver
USR-439,400,Silver
USR-440,780,Platinum
USR-441,336,Gold
USR-442,697,Regular
USR-443,563,Gold
USR-444,571,Silver
USR-445,573,Gold
USR-446,682,Silver
USR-447,757,Silver
USR-448,659,Gold
USR-449,328,Silver
USR-450,350,Platinum
USR-451,878,Platinum
USR-452,810,Platinum
USR-453,634,Regular
USR-454,563,Silver
USR-455,538,Regular
USR-456,797,Platinum
USR-457,576,Silver
USR-458,367,Silver
USR-459,589,Platinum
USR-460,821,Silver
USR-461,755,Gold
USR-462,802,Silver
USR-463,366,Gold
USR-464,444,Gold
USR-465,474,Platinum
USR-466,824,Gold
USR-467,423,Gold
USR-468,690,Gold
USR-469,560,Platinum
USR-470,481,Gold
USR-471,542,Platinum
USR-472,900,Gold
USR-473,892,Silver
USR-474,423,Gold
USR-475,798,Gold
USR-476,877,Platinum
USR-477,844,Silver
USR-478,433,Gold
USR-479,474,Silver
USR-480,695,Silver
USR-481,699,Gold
USR-482,518,Platinum
USR-483,691,Regular
USR-484,690,Regular
USR-485,473,Regular
USR-486,876,Regular
USR-487,548,Regular
USR-488,849,Platinum
USR-489,770,Gold
USR-490,425,Gold
USR-491,628,Gold
USR-492,322,Gold
USR-493,744,Silver
USR-494,791,Regular
USR-495,597,Gold
USR-496,762,Platinum
USR-497,555,Platinum
USR-498,546,Silver
USR-499,759,Silver
USR-500,311,Gold
USR-501,571,Silver
USR-502,400,Gold
USR-503,350,Silver
USR-504,826,Silver
USR-505,517,Gold
USR-506,579,Regular
USR-507,869,Gold
USR-508,569,Gold
USR-509,394,Regular
USR-510,716,Regular
USR-511,468,Gold
USR-512,421,Gold
USR-513,897,Platinum
USR-514,454,Regular
USR-515,561,Regular
USR-516,665,Platinum
USR-517,698,Regular
USR-518,745,Platinum
USR-519,449,Platinum
USR-520,480,Platinum
USR-521,860,Regular
USR-522,436,Platinum
USR-523,379,Silver
USR-524,621,Regular
USR-525,690,Gold
USR-526,304,Platinum
USR-527,748,Silver
USR-528,377,Silver
USR-529,760,Platinum
USR-530,335,Regular
USR-531,319,Regular
USR-532,506,Gold
USR-533,455,Regular
USR-534,665,Gold
USR-535,887,Platinum
USR-536,554,Platinum
USR-537,750,Silver
USR-538,809,Platinum
USR-539,500,Silver
USR-540,382,Silver
USR-541,676,Platinum
USR-542,657,Regular
USR-543,344,Gold
USR-544,826,Platinum
USR-545,357,Platinum
USR-546,595,Regular
USR-547,349,Gold
USR-548,522,Platinum
USR-549,576,Silver
USR-550,603,Gold
USR-551,367,Silver
USR-552,891,Gold
USR-553,540,Gold
USR-554,798,Regular
USR-555,885,Silver
USR-556,303,Gold
USR-557,432,Regular
USR-558,793,Regular
USR-559,715,Silver
USR-560,853,Regular
USR-561,727,Regular
USR-562,707,Regular
USR-563,461,Platinum
USR-564,535,Regular
USR-565,843,Gold
USR-566,553,Silver
USR-567,405,Regular
USR-568,354,Silver
USR-569,509,Regular
USR-570,631,Platinum
USR-571,602,Platinum
USR-572,830,Silver
USR-573,393,Regular
USR-574,792,Gold
USR-575,742,Silver
USR-576,830,Gold
USR-577,315,Platinum
USR-578,335,Gold
USR-579,702,Platinum
USR-580,767,Regular
USR-581,800,Silver
USR-582,384,Regular
USR-583,477,Gold
USR-584,516,Regular
USR-585,857,Platinum
USR-586,304,Platinum
USR-587,866,Platinum
USR-588,410,Silver
USR-589,321,Platinum
USR-590,843,Regular
USR-591,655,Regular
USR-592,804,Platinum
USR-593,839,Gold
USR-594,834,Platinum
USR-595,795,Regular
USR-596,814,Silver
USR-597,582,Gold
USR-598,880,Silver
USR-599,724,Regular
USR-600,385,Silver
USR-601,329,Regular
USR-602,398,Platinum
USR-603,481,Silver
USR-604,739,Platinum
USR-605,640,Silver
USR-606,449,Silver
USR-607,374,Regular
USR-608,859,Platinum
USR-609,849,Platinum
USR-610,517,Gold
USR-611,418,Regular
USR-612,547,Gold
USR-613,452,Silver
USR-614,754,Regular
USR-615,823,Platinum
USR-616,301,Platinum
USR-617,797,Silver
USR-618,626,Regular
USR-619,381,Platinum
USR-620,808,Regular
USR-621,697,Platinum
USR-622,429,Regular
USR-623,794,Platinum
USR-624,691,Regular
USR-625,681,Silver
USR-626,357,Regular
USR-627,547,Regular
USR-628,815,Gold
USR-629,613,Gold
USR-630,727,Platinum
USR-631,752,Regular
USR-632,345,Gold
USR-633,663,Regular
USR-634,853,Platinum
USR-635,468,Regular
USR-636,692,Platinum
USR-637,717,Regular
USR-638,881,Platinum
USR-639,604,Regular
USR-640,544,Silver
USR-641,565,Platinum
USR-642,400,Regular
USR-643,645,Regular
USR-644,308,Platinum
USR-645,832,Regular
USR-646,495,Platinum
USR-647,332,Gold
USR-648,742,Silver
USR-649,880,Regular
USR-650,383,Gold
USR-651,433,Gold
USR-652,694,Regular
USR-653,829,Platinum
USR-654,334,Gold
USR-655,489,Regular
USR-656,337,Regular
USR-657,839,Regular
USR-658,727,Regular
USR-659,836,Regular
USR-660,705,Regular
USR-661,626,Silver
USR-662,388,Gold
USR-663,428,Platinum
USR-664,661,Gold
USR-665,335,Platinum
USR-666,638,Silver
USR-667,800,Gold
USR-668,877,Gold
USR-669,704,Platinum
USR-670,609,Gold
USR-671,544,Gold
USR-672,518,Gold
USR-673,594,Silver
USR-674,796,Platinum
USR-675,671,Regular
USR-676,853,Regular
USR-677,886,Platinum
USR-678,372,Regular
USR-679,477,Platinum
USR-680,355,Platinum
USR-681,637,Platinum
USR-682,797,Platinum
USR-683,594,Platinum
USR-684,888,Regular
USR-685,812,Regular
USR-686,476,Platinum
USR-687,410,Regular
USR-688,875,Platinum
USR-689,567,Gold
USR-690,339,Regular
USR-691,510,Platinum
USR-692,768,Platinum
USR-693,847,Silver
USR-694,482,Platinum
USR-695,625,Gold
USR-696,439,Platinum
USR-697,840,Platinum
USR-698,496,Gold
USR-699,434,Silver
USR-700,549,Regular
USR-701,797,Silver
USR-702,830,Silver
USR-703,387,Silver
USR-704,406,Silver
USR-705,664,Regular
USR-706,477,Regular
USR-707,749,Gold
USR-708,717,Platinum
USR-709,515,Silver
USR-710,487,Silver
USR-711,774,Silver
USR-712,349,Gold
USR-713,789,Silver
USR-714,355,Platinum
USR-715,674,Regular
USR-716,301,Silver
USR-717,850,Platinum
USR-718,895,Silver
USR-719,480,Gold
USR-720,400,Platinum
USR-721,894,Regular
USR-722,319,Silver
USR-723,345,Silver
USR-724,826,Silver
USR-725,792,Silver
USR-726,816,Silver
USR-727,718,Regular
USR-728,555,Regular
USR-729,526,Regular
USR-730,731,Silver
USR-731,338,Silver
USR-732,541,Silver
USR-733,684,Regular
USR-734,895,Gold
USR-735,542,Gold
USR-736,705,Platinum
USR-737,708,Silver
USR-738,658,Regular
USR-739,512,Silver
USR-740,587,Silver
USR-741,842,Silver
USR-742,597,Silver
USR-743,478,Silver
USR-744,749,Platinum
USR-745,549,Silver
USR-746,620,Platinum
USR-747,869,Gold
USR-748,586,Regular
USR-749,736,Regular
USR-750,329,Platinum
USR-751,438,Gold
USR-752,682,Gold
USR-753,650,Gold
USR-754,689,Silver
USR-755,897,Silver
USR-756,570,Regular
USR-757,476,Silver
USR-758,874,Gold
USR-759,335,Silver
USR-760,437,Silver
USR-761,799,Platinum
USR-762,793,Silver
USR-763,605,Gold
USR-764,635,Gold
USR-765,458,Silver
USR-766,458,Silver
USR-767,567,Gold
USR-768,702,Regular
USR-769,585,Platinum
USR-770,492,Silver
USR-771,637,Platinum
USR-772,378,Regular
USR-773,368,Silver
USR-774,362,Regular
USR-775,318,Gold
USR-776,351,Platinum
USR-777,452,Platinum
USR-778,324,Gold
USR-779,624,Regular
USR-780,849,Platinum
USR-781,457,Regular
USR-782,389,Platinum
USR-783,728,Silver
USR-784,671,Silver
USR-785,899,Regular
USR-786,517,Silver
USR-787,559,Silver
USR-788,385,Regular
USR-789,696,Regular
USR-790,561,Silver
USR-791,787,Regular
USR-792,341,Gold
USR-793,565,Regular
USR-794,375,Platinum
USR-795,639,Regular
USR-796,507,Silver
USR-797,571,Platinum
USR-798,315,Silver
USR-799,544,Platinum
USR-800,460,Silver
